waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = -0.00 deg
body position: [2.8327779500983087e-09, -3.038301542009153e-09, 0.4204979243519505]
yaw at settle (before control_loop has published a single command): -0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [crouch   1%] pitch: +0.00 deg  roll: -0.00 deg  yaw: -0.00 deg  body_xyz: [2.8327779500983087e-09, -3.038301542009153e-09, 0.4204979243519505]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.200 FR:-0.200 BL:-0.200 BR:-0.200}
  [crouch   9%] pitch: +0.01 deg  roll: -0.00 deg  yaw: +0.00 deg  body_xyz: [-1.7633325693025297e-06, -3.392113639744399e-09, 0.37690890292638357]  speed_xy: 0.000 (target 0.150)  theta: +0.02 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.165 FR:-0.165 BL:-0.165 BR:-0.165}
  [crouch  19%] pitch: -0.03 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [7.572586108524714e-06, 9.695318258047725e-10, 0.3592314506431028]  speed_xy: 0.001 (target 0.150)  theta: -0.08 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch  28%] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.0001628875388031181, -2.3146075223842666e-08, 0.3589753482259564]  speed_xy: 0.000 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch  37%] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00016083731952271264, -2.3617860140351882e-08, 0.35897655009608914]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch  47%] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00015983612336972368, -2.129017935606728e-08, 0.35897743917449565]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch  56%] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00015883222046535124, -2.1303128208953585e-08, 0.358977359023059]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch  65%] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00015783089962222136, -2.1304991884117855e-08, 0.35897710166043806]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch  75%] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00015783089962222136, -2.1304991884117855e-08, 0.35897710166043806]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch  84%] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.0001568299229933404, -2.1303508575527344e-08, 0.35897681312782387]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
  [crouch  93%] pitch: -0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [0.00015582889731702673, -2.130209390153378e-08, 0.35897651909147965]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.152 FR:-0.152 BL:-0.152 BR:-0.152}
