waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = 0.00 deg
body position: [6.011894997358812e-11, 2.389159828039972e-06, 0.42049888147737985]
yaw at settle (before control_loop has published a single command): +0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [crouch   1%] pitch: +0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz: [6.011894997358812e-11, 2.389159828039972e-06, 0.42049888147737985]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.200 FR:-0.200 BL:-0.200 BR:-0.200}
  [crouch   9%] pitch: +0.06 deg  roll: -0.02 deg  yaw: -0.07 deg  body_xyz: [0.0003036407842505727, 8.256316070794062e-05, 0.38379859934311433]  speed_xy: 0.023 (target 0.150)  theta: +0.14 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.178 FR:-0.178 BL:-0.179 BR:-0.179}
  [crouch  19%] pitch: +0.17 deg  roll: -0.01 deg  yaw: +0.19 deg  body_xyz: [0.003439032084428331, 8.295683383363484e-05, 0.36069210002199814]  speed_xy: 0.015 (target 0.150)  theta: +0.36 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.167 FR:-0.166 BL:-0.167 BR:-0.168}
  [crouch  28%] pitch: +0.17 deg  roll: +0.04 deg  yaw: -0.31 deg  body_xyz: [0.008027726768367275, -0.0008133984611773951, 0.35904379290645466]  speed_xy: 0.034 (target 0.150)  theta: -0.12 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.168 BR:-0.168}
  [crouch  37%] pitch: +0.03 deg  roll: -0.00 deg  yaw: -0.18 deg  body_xyz: [0.005749878151585901, -0.00016229205572631424, 0.35913520128703513]  speed_xy: 0.026 (target 0.150)  theta: -0.20 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch  47%] pitch: +0.03 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.004977571420161825, -0.00020116610299083626, 0.3591689184080553]  speed_xy: 0.004 (target 0.150)  theta: +0.31 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.169}
  [crouch  56%] pitch: -0.00 deg  roll: +0.02 deg  yaw: -0.17 deg  body_xyz: [0.005085848356885082, -0.000231407759439544, 0.3592529753091071]  speed_xy: 0.005 (target 0.150)  theta: +0.05 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.169}
  [crouch  65%] pitch: +0.01 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005552237300140035, -0.0002148793121742138, 0.35930335506997607]  speed_xy: 0.001 (target 0.150)  theta: +0.01 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch  75%] pitch: +0.01 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.00557154895160633, -0.00020704463801783497, 0.3593188880969594]  speed_xy: 0.000 (target 0.150)  theta: -0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch  84%] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005572066994859367, -0.00020474266926686567, 0.35932244872783276]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
  [crouch  93%] pitch: +0.00 deg  roll: +0.01 deg  yaw: -0.17 deg  body_xyz: [0.005571971882948253, -0.0002042677990029365, 0.359323228524172]  speed_xy: 0.000 (target 0.150)  theta: +0.00 deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.168 FR:-0.169 BL:-0.169 BR:-0.168}
