waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = 0.00 deg
body position (ground truth - estimator not running yet): [2.914873805333322e-09, 3.194885603962911e-06, 0.42049537116888125]
yaw at settle (before control_loop has published a single command): -0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [crouch   1%] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [0.0, 0.0, 0.4]  body_xyz(gt): [2.914873805333322e-09, 3.194885603962911e-06, 0.42049537116888125]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: +0.0 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.200 FR:-0.200 BL:-0.200 BR:-0.200}
  [crouch   9%] pitch: +0.00 deg  roll: +0.00 deg  yaw: +0.00 deg  body_xyz(est): [-0.0, 0.0, 0.367]  body_xyz(gt): [-1.1091708800381612e-08, 5.1359446117771286e-06, 0.3783910412429946]  speed_xy(est): 0.001 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: +0.0 deg/s  theta(p=-0.00 d=-0.00 ff=+0.00 clamped=-0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.175 FR:-0.175 BL:-0.175 BR:-0.175}
  [crouch  19%] pitch: +0.00 deg  roll: -0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.341]  body_xyz(gt): [5.7694226137500984e-06, 6.2310770052271995e-06, 0.36100711004944286]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch  28%] pitch: +0.00 deg  roll: -0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [2.414191658711465e-05, 1.6416138051654773e-08, 0.36048354045006786]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: +0.0 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch  37%] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.412364872698528e-05, -2.3332822843071003e-05, 0.3605276602362755]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: +0.0 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch  47%] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.604279274412349e-05, -2.887529961858976e-05, 0.36054148477066855]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: +0.0 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch  56%] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.5008318136387825e-05, -3.057116344883841e-05, 0.3605455416511823]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: +0.0 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch  65%] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.5008318136387825e-05, -3.057116344883841e-05, 0.3605455416511823]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: +0.0 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch  75%] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.5008318136387825e-05, -3.057116344883841e-05, 0.3605455416511823]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: +0.0 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch  84%] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.5008318136387825e-05, -3.057116344883841e-05, 0.3605455416511823]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: -0.0 deg/s  theta(p=+0.00 d=-0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
  [crouch  93%] pitch: +0.00 deg  roll: +0.00 deg  yaw: -0.00 deg  body_xyz(est): [-0.0, 0.0, 0.34]  body_xyz(gt): [4.5008318136387825e-05, -3.057116344883841e-05, 0.3605455416511823]  speed_xy(est): 0.000 speed_xy(gt): 0.000 (target 0.170)  pitch_rate: +0.0 deg/s  theta(p=+0.00 d=+0.00 ff=+0.00 clamped=+0.00) deg  yaw_corr(err=+0.00deg I=+0.000 -> fx_term=+0.0000 fy_term=-0.0000)  legs: {'FL': '-', 'FR': '-', 'BL': '-', 'BR': '-'}  active_pair: None  foot_z: {FL:-0.166 FR:-0.166 BL:-0.166 BR:-0.166}
